exam_id,professor,course,term,exam_no,q_no,points,concept,stem
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","7a",10,"mechanism-radical","Show mechanism for cyclohexene + HBr ROOR. Differentiate initiation propagation and termination steps for radical reaction."
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","7b",10,"mechanism-addition","Show mechanism for alkene + H2O H2SO4. Draw box around major product."
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","8",10,"other","Extra credit: identify structure of caryophyllene from reaction data (H2/Pd/C hydrogenation product and ozonolysis products given)."
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","1",15,"mechanism-SN2","For each pair of reactions circle the one that would be faster at SN2 and explain why in under ten words. If both equal do not circle."
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","2",20,"alkene-reactions","Draw (1R,2R)-2-methylcyclopentanol etc. Which can be formed as only major product of hydroboration-oxidation? Of oxymercuration-reduction? Show overall reaction."
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","3",20,"substitution-elimination","For each reaction circle the mechanism(s) expected (E2 SN2 E1 SN1) and draw product(s). Show stereochemistry with wedges/dashes. Show only major alkene if elimination occurs."
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","4",10,"mechanism-E2","Show the product of amine + alkyl bromide + BuLi/THF and the mechanism for its formation."
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","5",10,"mechanism-E2","Predict product of alkyl chloride + EtONa/EtOH including E/Z stereochemistry. Explain stereochemical outcome in under thirty words."
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","6",10,"mechanism-E2","One molecule undergoes E2 elimination much faster than the other. Circle the faster molecule and explain why in under thirty words."
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","7",15,"synthesis-multistep","On each arrow show the reagents needed to accomplish each transformation. Target product must be major product. (5 transformations shown as skeletal structures)"
"11JRF18ex3 DONE","Richardson","CHEM 3311","F18","3","8",10,"other","Extra credit: achiral alkyl halide C10H17Br undergoes E2 solvolysis and ozonolysis reactions. Draw compounds A through E from clue data."
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","1a",15,"mechanism-addition","Each reaction forms a different product of formula C10H18O2. Show mechanism and draw box around final product. (epoxide + alcohol + H+)"
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","1b",15,"mechanism-addition","Each reaction forms a different product of formula C10H18O2. Show mechanism and draw box around final product. (epoxide + alcohol + OH-)"
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","2",15,"other","Mysterious bottle labeled Luzonensin isolated from red algae. Perform reactions and observe results. What is the structure of luzonensin?"
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","3",40,"synthesis-multistep","Find a way to synthesize desired product from given starting material. Show product of each step. Do not show mechanisms. (4 multi-step syntheses)"
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","4",40,"reaction-prediction","Predict product of 10 reactions and choose appropriate descriptor (reduction oxidation or neither) for what happens to organic molecule. (Grignard epoxide organocuprate SN1 periodate E2 tosylation ozonolysis PCC Simmons-Smith)"
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","5",20,"mechanism-SN2","One stereoisomer of 2,6-dibromocyclohexanol treated with sodium hydride forms only the product shown. Draw the stereoisomer consistent with these results and explain why in under 30 words."
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","6",20,"resonance","Squaric acid loses two protons to become squarate dianion. Draw three other resonance forms with arrow-pushing. What is average bond order for each C-O and C-C bond?"
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","7",15,"mechanism-general","Show a mechanism for alcohol + H2SO4 giving bicyclic product. Draw box around final product. (carbocation cyclization)"
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","8",20,"mechanism-radical","Show mechanism for cyclohexane + Br2/hv. Label initiation propagation and termination steps. Show at least two examples of termination."
"11JRF18ex4 DONE","Richardson","CHEM 3311","F18","Final","9",10,"bonding-hybridization","Extra credit: for each labeled atom in ethynyl estradiol describe hybridization as sp sp2 or sp3."
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","1a",4,"mechanism-general","Draw the product of each step based on the curved arrows shown. (a) Carboxylic acid + diazomethane H2C=N+=N-"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","1b",4,"mechanism-general","Draw the product of each step based on the curved arrows shown. (b) p-Nitrofluorobenzene + methoxide (SNAr)"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","1c",4,"mechanism-addition","Draw the product of each step based on the curved arrows shown. (c) Cyclohexene + Br2 electrophilic addition"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","1d",4,"mechanism-general","Draw the product of each step based on the curved arrows shown. (d) Propargylic dialdehyde intramolecular reaction from curved arrows"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","2",14,"resonance","Show all major resonance forms for this molecule and circle the most stable. (extended aromatic vinyl anion system)"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","3a",4,"acids-bases","Draw curved arrows and determine whether reactants products or neither are favored. (a) Phenol + methoxide"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","3b",4,"acids-bases","Draw curved arrows and determine whether reactants products or neither are favored. (b) Azide + H-O-acetate ester"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","3c",4,"acids-bases","Draw curved arrows and determine whether reactants products or neither are favored. (c) HBr + chloride anion"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","4a",10,"functional-groups","Istradefylline is a new drug approved in 2019 as treatment for Parkinsons disease. Which of the listed functional groups does istradefylline contain? Circle all that apply."
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","4b",2,"bonding-hybridization","How many sp2-hybridized carbon atoms does istradefylline have?"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","4c",2,"bonding-hybridization","How many sp3-hybridized carbon atoms does istradefylline have?"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","5a",6,"IUPAC-naming","Compounds given almost correct names. Draw skeletal structure and write correct IUPAC name. (a) 2-ethylpentane"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","5b",6,"IUPAC-naming","Compounds given almost correct names. Draw skeletal structure and write correct IUPAC name. (b) 3,4,5,6-tetraethyl-1,2-diisopropylcyclohexane"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","5c",6,"IUPAC-naming","Compounds given almost correct names. Draw skeletal structure and write correct IUPAC name. (c) 2-cyclobutylpropane"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","6",10,"molecular-structure","Draw a molecule satisfying given criteria. (a) Alkane C5H10 no primary tertiary or quaternary carbons (b) Alkyne C4H6 single methylene (c) Ketone C5H8O single trigonal planar C (d) Ether C3H8O"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","7a",10,"bonding-hybridization","Although He2 cannot exist the He2+ ion can. Draw MO diagram for He2+ naming each orbital and filling electrons correctly."
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","7b",2,"bonding-hybridization","What is the bond order between the two helium atoms in He2+?"
"11JRF19ex1 DONE on website mt1 ex1","Richardson","CHEM 3311","F19","1","7c",4,"bonding-hybridization","Draw the shape of each MO next to its position in the MO diagram."
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","1",10,"stereochem-R-S","Anticancer agent for canine osteosarcoma. Assign configuration of each asymmetric carbon draw the enantiomer. How many diastereomers does this molecule have?"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","2",12,"isomer-relationships","For each of the following pairs of molecules are they identical enantiomers diastereomers constitutional isomers or unrelated? (6 pairs, 2 pts each)"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","3a",5,"synthesis-multistep","Starting from any hydrocarbon same number of carbons as product create product as only major product using reactions covered. (a) Tertiary alkyl bromide"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","3b",5,"synthesis-multistep","Starting from any hydrocarbon same number of carbons as product create product as only major product using reactions covered. (b) Tertiary alcohol"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","3c",5,"synthesis-multistep","Starting from any hydrocarbon same number of carbons as product create product as only major product using reactions covered. (c) Phenylcyclopentane"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","3d",5,"synthesis-multistep","Starting from any hydrocarbon same number of carbons as product create product as only major product using reactions covered. (d) Cyclohexane with OH and Cl (specific stereochemistry)"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","3e",5,"synthesis-multistep","Starting from any hydrocarbon same number of carbons as product create product as only major product using reactions covered. (e) 1-acetyl-4-carboxycyclohexane"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","4a",6,"mechanism-addition","Show mechanism and draw box around major product. (a) Styrene + BH3 (hydroboration)"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","4b",6,"mechanism-addition","Show mechanism and draw box around major product. (b) Styrene + Hg(OAc)2, H2O, THF (oxymercuration)"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","4c",6,"mechanism-addition","Show mechanism and draw box around major product. (c) Styrene + Br2, CH2Cl2 (electrophilic bromine addition)"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","5",10,"alkene-reactions","Put the following alkenes in order of stability from most stable to least stable. (E)-3-methyl-2-pentene (E)-2-hexene (R)-3-methyl-1-pentene 2,3-dimethyl-2-butene (Z)-2-hexene"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","6",25,"alkene-reactions","Several alcohol compounds shown. Which can be produced as only major product of hydroboration-oxidation? Of acid-catalyzed hydration? Draw single alkene starting material or leave empty. (5 alcohols)"
"11JRF19ex2 ONENOTE","Richardson","CHEM 3311","F19","2","7",10,"mechanism-addition","Extra credit. Propose a reasonable mechanism for iodolactonization: unsaturated carboxylic acid + I2 gives iodolactone."
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","1a",4,"alkene-reactions","Compound is one particular enantiomer of 2-methylnorbornene. Draw product with stereochemistry. (a) BH3 then H2O H2O2 and NaOH"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","1b",4,"alkene-reactions","Draw product with stereochemistry. If multiple products are they equal or unequal amounts. (b) Ozone then dimethyl sulfide"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","1c",4,"mechanism-addition","Draw product with stereochemistry. If multiple products are they equal or unequal amounts. (c) Bromine and methanol"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","1d",4,"alkene-reactions","Draw product with stereochemistry. If multiple products are they equal or unequal amounts. (d) Hydrogen and palladium on carbon"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","2",12,"other","For each group of molecules circle the one with highest boiling point and explain why in under ten words. (a) cyclohexane/cyclodecane/cyclobutane (b) 1,4-cyclohexanediol/1,4-dimethylcyclohexane/4-methylcyclohexanol (c) methylcyclopentane/oxirane/THF"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","3",25,"cyclohexane-conformations","Reaction gives single product C12H21OBr. (a) Degrees of unsaturation starting material (b) product (c) Draw two conformations circle more stable (d) Draw mechanism and product (e) explain why only one product"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","4a",4,"substitution-elimination","Circle mechanism(s) expected and draw product(s) with stereochemistry. (a) Cyclohexyl bromide + H2O low temperature"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","4b",4,"substitution-elimination","Circle mechanism(s) expected and draw product(s) with stereochemistry. (b) trans-2-methylcyclohexyl bromide + PrONa/DMF"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","4c",4,"substitution-elimination","Circle mechanism(s) expected and draw product(s) with stereochemistry. (c) Cyclohexyl bromide + MeSNa/MeOH"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","4d",4,"substitution-elimination","Circle mechanism(s) expected and draw product(s) with stereochemistry. (d) trans-2-methylcyclohexyl bromide + tBuONa/THF"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","5",10,"mechanism-E2","Show product with stereochemistry and mechanism. Chiral substrate bearing Br and Ph reacts with iPrONa/iPrOH"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","6",21,"synthesis-multistep","On each arrow show reagents needed to accomplish reaction as only major product. (7 transformations including SN2/E2/thiol/epoxide/hydrogenation reactions, 3 pts each)"
"11JRF19ex3 ONENOTE","Richardson","CHEM 3311","F19","3","7",10,"mechanism-E2","Extra credit. One reaction gives two possible products the other gives only one. Which is which? Explain in under twenty words. (two cycloalkyl bromides with NaOtBu/HOtBu)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","1",40,"reaction-prediction","Predict product and choose appropriate descriptor (reduction oxidation or neither) for each of 10 reactions. (ketone esterification organocuprate organolithium OTf/E2 carbene oxidation tosylation)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","2",40,"synthesis-multistep","Find a way to synthesize desired product from given starting material. Show product of each step. Do not show mechanisms. (4 syntheses 10 pts each)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","3a",10,"mechanism-SN2","Williamson Ether Synthesis. Write arrow-pushing mechanism for HO-alkyl-I + NaH forming cyclic ether (intramolecular SN2)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","3b",10,"mechanism-SN2","Predict product and show mechanism for I-alkyl-OH + NaH (intramolecular Williamson ether synthesis)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","3c",10,"synthesis-multistep","How would you synthesize the following ether from any alcohol and any alkyl halide? (retrosynthetic analysis + Williamson)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","4",20,"functional-groups","Write the names of the following functional groups. (10 groups 2 pts each: carboxylic acid aldehyde ketone epoxide amide alkyne ether thioether alcohol thiol)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","5",25,"mechanism-general","Write arrow-pushing mechanism for cyclobutane-CH2OH + H2SO4 giving cyclopentene (ring expansion via carbocation rearrangement)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","6",15,"cyclohexane-conformations","Draw following molecules in both chair conformations and circle most stable. (3 substituted cyclohexanes 5 pts each)"
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","7",30,"isomer-relationships","Stereochemistry. (a-h) Describe pairs as identical enantiomers diastereomers or constitutional isomers. (i-j) Describe molecule as R or S at stereocenter labeled with asterisk."
"11JRF19ex4 DONE ONENOTE","Richardson","CHEM 3311","F19","Final","8",10,"mechanism-addition","Extra credit. Epoxy glue polymerization: NaOMe + ethylene oxide monomer gives polyether. Show reasonable mechanism assuming trace water present."
"11OLS18ex1 DONE ONENOTE","Luca","CHEM 3311","S18","1","1",20,"acids-bases","(a) Least acidic of CF3COOH CH3COOH CH2FCOOH? Explain. (b) Which has lowest pKa? (c) Draw conjugate bases of all three. (d) Least basic conjugate base? Explain."
"11OLS18ex1 DONE ONENOTE","Luca","CHEM 3311","S18","1","2",15,"bonding-hybridization","Give example molecules meeting all requirements; indicate hybridization at all carbons. (a) 5C one degree of unsaturation one ketone (b) 10+ C only two sp carbons only two nitriles (c) ether ester and one sp2 carbon"
"11OLS18ex1 DONE ONENOTE","Luca","CHEM 3311","S18","1","3",20,"stereochem-Newman","Draw Newman projections for 2-methylbutane looking down C2-C3 bond at all 60 degree increments. List interactions in each conformation. Plot conformational energy diagram using provided interaction energies."
"11OLS18ex1 DONE ONENOTE","Luca","CHEM 3311","S18","1","4",25,"functional-groups","Oxytocin structure. (a) Degrees of unsaturation (b) Number of primary amide bonds (c) Number of pi bonds (d) Number of sp-hybridized carbons (e) Ratio deprotonated/protonated at pH 1.6 pKa=10 (f) How much of 100mg dose is active"
"11OLS18ex1 DONE ONENOTE","Luca","CHEM 3311","S18","1","5",20,"mechanism-general","Write product structures for following reactions indicating charges and lone pairs. (a) tertiary alkyl bromide ionization (b) acetone lone pair attack (c) HCN: proton transfer (d) acetone + BF3 Lewis acid-base (e) formaldehyde cation (f) tertiary alcohol + HBr"
"11OLS18ex2 DONE ONENOTE","Luca","CHEM 3311","S18","2","1",20,"alkene-reactions","Write starting material reagents and major product for hydroboration-oxidation of (E)-3-methyl-2-pentene. Indicate whether addition is syn or anti and assign absolute stereochemistry."
"11OLS18ex2 DONE ONENOTE","Luca","CHEM 3311","S18","2","2a",5,"synthesis-multistep","Propose one-step synthesis for vicinal bromohydrin from molecule with same number of carbons. Show summary indicating starting material reagents and reaction conditions."
"11OLS18ex2 DONE ONENOTE","Luca","CHEM 3311","S18","2","2b",15,"mechanism-addition","Show detailed mechanism for all steps in formation of vicinal bromohydrin product shown."
"11OLS18ex2 DONE ONENOTE","Luca","CHEM 3311","S18","2","3",20,"stereochem-R-S","Indicate absolute configuration at each stereocenter for 3 pairs of molecules. In right-hand box indicate type of isomers and whether enantiomers diastereomers or identical."
"11OLS18ex2 DONE ONENOTE","Luca","CHEM 3311","S18","2","4",20,"mechanism-addition","Give example of alkoxymercuration/reduction on trisubstituted alkene. Indicate starting material reagents products. Emphasize regio- and stereochemical outcome (syn/anti). Provide detailed mechanism (no mechanism required for reduction step)."
"11OLS18ex2 DONE ONENOTE","Luca","CHEM 3311","S18","2","5",20,"synthesis-multistep","Propose synthesis for compounds shown below as major products. (a) cyclohexyl dialdehyde (b) 1-methylcyclohexylmethanol (c) cyclopentylmethyl bromide (d) isobutylcyclopentane"
"11OLS18ex2 DONE ONENOTE","Luca","CHEM 3311","S18","2","5e",10,"carbocation-stability","Bonus. Propose synthesis of 1-methylcyclopentanol using a reaction that includes a 1,2-hydride shift step."
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","1",14,"functional-groups","Indicate which functional groups are present in each molecule using letter codes. (Pravastatin cholesterol-lowering drug and 3-phenylprop-2-enal from cinnamon bark)"
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","2",8,"bonding-hybridization","How many hydrogen atoms are attached to each of the indicated carbons? Write answer in box. All charges are shown. (4 structures)"
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","3",3,"bonding-hybridization","Calculate the formal charge for each of the indicated atoms. All lone pairs are shown. (nitrogen oxygen nitrogen in 3 structures)"
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","4",16,"bonding-hybridization","Identify the two orbitals that overlap to form each indicated bond in glycolonitrile (HOCH2CN). Identify C-N sigma C-O sigma C-C sigma and C-N pi bonds."
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","5",4,"bonding-hybridization","Choose hybridization (sp sp2 sp3) for each indicated atom. (oxygen in THF carbonyl carbon in protonated ketone C2 in 2-chlorobutane nitrogen in amide)"
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","6",5,"bonding-hybridization","Carbon with positive charge has four valence shell orbitals. Complete table writing how many of each type (s p sp sp2 sp3)."
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","7",15,"IUPAC-naming","Provide acceptable IUPAC systematic names for each of the following molecules. (octane chain branched alkane cyclopentane with OH and Cl substituents)"
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","8",10,"IUPAC-naming","Draw the requested molecules and circle correct classification. (tert-butyl alcohol classify as 1 2 or 3 degree; isopropyl chloride classify as 1 2 or 3 degree)"
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","9",5,"resonance","Select the major resonance contributor from three structures shown (cyclohexanone enolate). Multiple choice A B C A-and-C or all equivalent."
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","10",10,"resonance","Give two reasons why you chose the structure you did as the major resonance contributor."
"11TMSu18ex1 DONE on website  mt1 ex3","Minger","CHEM 3311","Su18","1","11",10,"resonance","Draw one other reasonable resonance contributor for each species with curved arrows. Include all lone pairs and nonzero formal charges. (methyl ester anion and toluene carbocation)"
"11TMSu18ex2 DONE2","Minger","CHEM 3311","Su18","2","1",25,"acids-bases","(a) Arrange cyclopentanol carboxylic acid amine in decreasing pKa order. (b-c) Best conjugate base explanation for acidity differences. (d) Circle stronger acid: alcohol vs protonated alcohol. (e) Circle stronger base: alcohol vs alkoxide."
"11TMSu18ex2 DONE2","Minger","CHEM 3311","Su18","2","2",10,"acids-bases","Atenolol is a beta blocker for high blood pressure. Which proton A or B is more acidic? Explain reasoning using conjugate base stability argument explaining why one conjugate base is more stable."
"11TMSu18ex2 DONE2","Minger","CHEM 3311","Su18","2","3",15,"acids-bases","Methoxide + methyl acetate (pKa=24) proton transfer. (a) Draw mechanism with curved arrows products lone pairs and formal charges. (b) Estimate equilibrium constant K. (c) Which side favored at equilibrium?"
"11TMSu18ex2 DONE2","Minger","CHEM 3311","Su18","2","4",25,"stereochem-conformational","(a) Circle ring with MOST strain. (b) Circle ring with LEAST strain. (c) Draw Newman projections of 2,3-dimethylbutane C2-C3 most and least stable. (d) Identify strain types in each; count gauche butane interactions."
"11TMSu18ex2 DONE2","Minger","CHEM 3311","Su18","2","5",25,"bonding-hybridization","(a) Identify HOMO or LUMO for each of 4 reaction mechanisms: epoxide opening by hydroxide carbocation capture by bromide alkene protonation SN2 with methoxide. (b) True or False for 3 statements about molecular orbitals."
"11TMSu18ex2 DONE2","Minger","CHEM 3311","Su18","2","6",10,"acids-bases","Extra credit. In presence of HCl carboxylic acid is protonated. Which oxygen atom is more basic (carbonyl or OH)? Support answer using structures with all lone pairs and nonzero formal charges."
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","1",5,"functional-groups","MC. Trilostane used to treat Cushings syndrome. Select the functional group that is NOT present in the structure of trilostane. (alcohol/aldehyde/epoxide/ketone/nitrile)"
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","2",5,"functional-groups","MC. Etorphine is analgesic used in veterinary tranquilizer darts. Which functional group is present in the structure of etorphine? (alkyl halide/amine/anhydride/ester/nitro)"
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","3",5,"IUPAC-naming","MC. Select the common name for the alkyl group attached to the ring in structure shown. (sec-butyl/tert-butyl/isobutyl/isopropyl/neopentyl)"
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","4",5,"IUPAC-naming","MC. In the previous question what is the locator number for the ring carbon to which the chlorine atom is attached? (1/2/3/4/5)"
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","5",5,"bonding-hybridization","MC. In the benzylic carbocation structure what is the hybridization of the benzylic carbon? (sp/sp2/sp3/not hybridized)"
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","6",5,"bonding-hybridization","MC. In the preceding benzylic carbocation structure how many tertiary carbons are there? (0/1/2/3/more than 3)"
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","7",5,"functional-groups","MC. Benzylpenicillin antibiotic. Select the true statement about its structure. (rings aromatic / no heteroatoms / two amides / COOH coming forward / ten lone pairs not shown)"
"11TMSu19ex1 DONE on website mt1 ex4","Minger","CHEM 3311","Su19","1","8",5,"bonding-hybridization","MC. In three structures X Y and Z all lone pairs shown. Select answer stating correct formal charges on indicated atoms. (X:+1/Y:+1/Z:+1 etc.)"
