id,name,reagents,tier,decision_q,choiceA,choiceA_correct,choiceB,choiceB_correct,choiceC,choiceC_correct,choiceD,choiceD_correct,prod_type,prod_c1,prod_c2,prod_stereo,rule,trap_id,firstMove,shortcut,whyTrapTempting,smiles
isolated_vs_conjugated_diene_hoh_1,Heat of Hydrogenation: Isolated vs Conjugated Diene,,toggle,"Which compound has the higher heat of hydrogenation: (E)-1,4-hexadiene (isolated diene) or (E,E)-2,4-hexadiene (conjugated diene)?","(E)-1,4-hexadiene — isolated diene, higher heat of hydrogenation",true,"(E,E)-2,4-hexadiene — conjugated diene, higher heat of hydrogenation",false,Both have the same heat of hydrogenation,false,Cannot be determined without experimental data,false,,,,,"(E)-1,4-hexadiene is an isolated diene — its two double bonds behave independently and there is no resonance delocalization. (E,E)-2,4-hexadiene is a conjugated diene with pi orbital overlap across both double bonds, which lowers its energy. The isolated diene is less stable, so it releases more energy on hydrogenation.",trap_conjugated_more_energy,"Identify isolated vs conjugated, then recall that lower stability = higher heat of hydrogenation",Isolated diene = no conjugation stabilization = higher heat of hydrogenation,"Students see 'conjugated' and associate it with 'more reactive' or 'higher energy', incorrectly predicting higher heat of hydrogenation for the conjugated diene",
cyclopentadiene_equilibrium_temp_1,Cyclopentadiene Dimerization Equilibrium and Temperature,,toggle,"Cyclopentadiene dimerizes to dicyclopentadiene (2 pi bonds broken, 2 sigma bonds formed). If temperature is increased, which way does the equilibrium shift?",Shift right — more dicyclopentadiene forms,false,Shift left — more cyclopentadiene forms,true,Remain unchanged,false,Both cyclopentadiene and dicyclopentadiene increase,false,,,,,"Forming sigma bonds releases heat (dimerization is exothermic). By Le Chatelier's principle, increasing temperature shifts an exothermic equilibrium to the left (toward reactants). More cyclopentadiene monomer forms at higher temperature.",trap_heat_drives_forward,"Determine if dimerization is exo- or endothermic (sigma bonds form = exothermic), then apply Le Chatelier",Exothermic reaction + increase T = shift left (toward reactants),"Students think 'more heat = more reaction' and predict the equilibrium shifts right, forgetting Le Chatelier's principle",
br2_cyclopentene_mechanism_stereo_1,Bromination of Cyclopentene — Mechanism and Stereochemical Outcome,Br2,predict,"Three mechanisms are proposed for Br2 addition to cyclopentene. Mechanism I: concerted syn addition. Mechanism II: flat carbocation intermediate (not bridged). Mechanism III: bromonium ion intermediate. What stereochemical outcome does each predict for 1,2-dibromocyclopentane?","Mech I = trans, Mech II = trans & cis, Mech III = cis",false,"Mech I = cis, Mech II = trans, Mech III = trans",false,"Mech I = cis, Mech II = trans & cis, Mech III = trans",true,"Mech I = cis, Mech II = trans & cis, Mech III = trans & cis",false,add,"Mech I (concerted syn): cis-1,2-dibromocyclopentane",Mech II (flat carbocation): mixture of cis and trans. Mech III (bromonium ion): anti addition = trans only,anti,"Concerted syn addition (Mech I) gives the cis product (both Br on same face). A flat carbocation (Mech II) has no face selectivity — nucleophile can attack from either side, giving a mixture. A bromonium bridge (Mech III) locks the geometry and forces anti attack by Br-, giving exclusively trans product. The actual mechanism is III (bromonium ion) giving trans product.",trap_bromonium_gives_cis,"For each mechanism, ask: does it force both Brs to the same face (syn→cis) or opposite faces (anti→trans) or neither (mixture)?",Bromonium ion = anti addition = trans product in cyclic systems,"Students confuse 'anti addition' with cis product, forgetting that in a ring, anti addition across the ring gives the trans (opposite face) diastereomer",C1=CCCC1
reaction_coord_2ts_mechanism_1,Reaction Coordinate Diagram — Two Transition States,,recognise,A reaction coordinate diagram shows two energy humps (two transition states) with a dip between them (an intermediate). Which of the mechanisms for Br2 addition to cyclopentene (I: concerted; II: flat carbocation; III: bromonium ion) could have a similar diagram?,I only,false,II only,false,III only,false,II and III,true,,,,,"A diagram with two transition states and one intermediate indicates a two-step mechanism. Mechanism I is concerted (one step, one TS). Mechanisms II and III both involve a discrete intermediate (carbocation or bromonium ion) with two transition states. Both II and III match the diagram.",trap_only_bromonium_2step,Count the humps: two humps = two TSs = two-step mechanism = an intermediate exists,Two TS humps = stepwise mechanism with intermediate; concerted = one hump only,Students only associate bromonium ion with two steps and forget the flat carbocation (Mech II) is also a two-step mechanism,
c7_alkene_stability_most_energy_formation_1,C7 Alkene: Most Energy Released on Formation from Elements,,toggle,"A set of C7 alkene isomers is given: A (tetrasubstituted, 2,3-dimethyl-2-pentene type), B (di-trans, (E)-hept-2-ene type), C (di-cis, (Z)-hept-2-ene type), D (monosubstituted, hept-1-ene type), E (trisubstituted). Which releases the most energy on formation from its elements?",A — tetrasubstituted alkene (most stable),true,B — E-disubstituted,false,D — monosubstituted (least stable),false,E — trisubstituted,false,,,,,"Formation of the most stable alkene from elements releases the most energy (it sits at the lowest energy level). The tetrasubstituted alkene (A) is the most stable, so its formation from elements is most exothermic. Note: this is the opposite logic from heat of hydrogenation — here we compare to the elements (not the alkane).",trap_formation_vs_hydrogenation,Most stable alkene = lowest energy = largest negative enthalpy of formation = most energy released,Formation from elements: most stable product = most energy released. Hydrogenation: least stable reactant = most energy released.,"Students apply the hydrogenation logic (least stable = most energy) and pick D (monosubstituted), forgetting the direction of comparison is reversed for formation",
retrosynthesis_hbr_alkene_choice_1,Retrosynthesis: Which Alkene Gives 2-Bromo-2-Methylpentane with HBr,HBr,reverse,"You want to make 2-bromo-2-methylpentane using HBr. Three alkenes are available: A (4-methyl-1-pentene), B (2-methyl-1-pentene), C (2-methyl-2-pentene). Which alkene(s) can give the desired product?",A only,false,B only,false,C only,false,B and C,true,add,2-bromo-2-methylpentane,,,"Apply Markovnikov: H adds to the less substituted C, Br to the more substituted C. Alkene A (4-methyl-1-pentene) places Br at C1 of the 4-methyl chain, giving 1-bromo-4-methylpentane (wrong carbon skeleton relationship). Alkene B (2-methyl-1-pentene) places Br at C2 (tertiary), giving 2-bromo-2-methylpentane — correct. Alkene C (2-methyl-2-pentene) places Br at C2 (tertiary), also giving 2-bromo-2-methylpentane — correct.",trap_retro_only_symmetric_alkene,"Work backwards: put the Br on the tertiary C, then remove HBr to find which alkene(s) could be precursors",Two alkenes can give the same Markovnikov product if both have the same more-substituted carbon,Students only consider one precursor alkene and miss that both B and C satisfy Markovnikov conditions for the same carbon,
ez_label_fluoroalkene_1,E/Z Assignment — Fluorine-Containing Alkene,,recognise,The alkene H3C-C(F)=C(CH3)(CH2CH3) — one carbon bears F and CH3; other bears CH3 and Et. What is the E/Z designation?,E,false,Z,true,Neither (symmetric substituents),false,Cannot be determined,false,,,,,"Assign CIP priorities at each carbon. On the F-bearing carbon: F > CH3. On the other carbon: the higher-priority group is determined by CIP rules. When both higher-priority groups are on the same side, it is Z. The answer image assigns Z.",trap_ez_alphabetical,"Assign CIP priorities at each doubly-bonded carbon independently, then check if high-priority groups are same side (Z) or opposite (E)",F has highest atomic number among common substituents — always wins priority,Students assign priority alphabetically or by largest group by mass rather than CIP atomic number rules,F/C(=C(\C)CC)/C
ez_label_same_groups_1,E/Z Assignment — Symmetric Substituents,,recognise,"An alkene has the same two groups on each doubly-bonded carbon (both carbons bear two identical substituents, e.g. two methyl groups on each). What is the E/Z designation?",E,false,Z,false,Neither — cannot assign E/Z when two substituents on one carbon are identical,true,Both E and Z apply,false,,,,,"E/Z designation requires each doubly-bonded carbon to have two DIFFERENT substituents. If one carbon has two identical groups, there is no geometric isomerism and the molecule cannot be labeled E or Z.",trap_ez_assign_always,"Check: does each C of C=C have two different groups? If not, E/Z cannot be assigned",Identical substituents on one carbon = 'neither'; do not force E or Z,"Students try to assign E or Z by looking at the other carbon only, ignoring the requirement that both carbons must have distinct substituents",CC(=C(C)C)C
ez_label_br_cho_alkene_1,E/Z Assignment — Br/CHO Alkene,,recognise,An alkene has Br and CHO on one carbon and Br and a hydroxymethyl-isobutyl group on the other. The answer image assigns E. What is the E/Z designation?,E — higher priority groups on opposite sides,true,Z — higher priority groups on same side,false,Neither,false,Cannot be determined,false,,,,,"Apply CIP priorities at each carbon of the C=C. Br (atomic number 35) outranks C-groups. When the two higher-priority groups (Br on each carbon) are on opposite sides of the double bond, the designation is E.",trap_ez_br_priority,Locate Br on each carbon first — Br is always the highest priority among the common groups shown,"If both Br atoms are trans to each other (opposite sides), label is E",Students may get confused by the complex substituents and incorrectly assess which group has higher priority on the Br-bearing carbon,Br/C(=C(/Br)CO)CC(C)C
ez_identification_1,E/Z Alkene Identification,,recognise,Which of these is an E alkene? (Five alkenes are shown: A = F and Br on same carbon with H and CH3; B = two methyl-substituted alkene; C = Cl and CO2H vs F and CH3; D = H and CHO vs Br and CH2OH; E = Br and Cl vs F and H),"A: (F, Br on one carbon; H, CH3 on the other) — labeled Z",false,B: disubstituted alkene with two methyl groups — labeled Z,false,C: Cl/CO2H vs F/CH3 — labeled Z,false,D: H/CHO vs Br/CH2OH (circled as correct),true,,,,,"Assign CIP priorities to each carbon of the double bond. On each carbon, if the higher-priority groups are on opposite sides the alkene is E. In D, CHO outranks H and Br-CH2OH outranks Br, and these high-priority groups are on opposite sides — E.",confusing_ez_priority,Assign CIP priority to each substituent on each double-bond carbon separately.,"E = higher-priority groups on opposite sides (like trans but uses CIP rules, not size).","Students use 'trans' intuition and assume larger groups opposite = E, but when heteroatoms shift priorities the visual appearance can be misleading.",
stability_rank_1,Most Stable Alkene Among Isomers,,predict,"Select the most stable alkene in this set of isomers. (Five structural isomers are shown: A = disubstituted trans, B = trisubstituted, C = monosubstituted, D = disubstituted cis, E = disubstituted with gem pattern)",A: disubstituted trans alkene,false,B: trisubstituted alkene (circled as correct),true,C: monosubstituted alkene,false,D: disubstituted cis alkene,false,,,,,Alkene stability increases with more alkyl substituents on the double bond. Trisubstituted > disubstituted trans > disubstituted cis > monosubstituted > unsubstituted. B (trisubstituted) is most stable.,trans_over_trisubst,Count the number of alkyl groups directly attached to the two double-bond carbons.,More substitution = more hyperconjugation = lower energy = more stable.,"Students pick the trans isomer (A) because 'trans is more stable than cis', forgetting that substitution count ranks higher than cis/trans geometry.",
degrees_unsat_c8h9n,Degrees of Unsaturation: C8H9N,,recognise,How many elements of unsaturation are in the formula C8H9N?,0,false,1,false,2,false,5,true,,,,,"For CnHmNp: EU = (2n + 2 + p - m) / 2. For C8H9N: (2x8 + 2 + 1 - 9) / 2 = (16 + 2 + 1 - 9) / 2 = 10/2 = 5. The answer shown is f. 5, with work (18+1)-9 = 10H deficit, then /2 = 5.",nitrogen_eu_direction,"Write the formula for EU and note that N adds 1 to the numerator (like adding an H), while O has no effect.","(2C + 2 + N - H) / 2. Nitrogen adds one, halogens subtract one, oxygen is ignored.","Students often subtract N instead of adding it, or forget to add N at all, giving EU = 4 instead of 5.",
iupac_name_cyclohexene_bromo,IUPAC Name: Bromo-methylcyclohexene,,toggle,What is the proper IUPAC name for the cyclic alkene shown (cyclohexene ring with Br substituent and a CH3 group)?,1-bromo-6-methylcyclohex-2-ene,false,6-bromo-1-methylcyclohex-1-ene,false,6-bromo-1-methylcyclohexene,true,2-bromo-1-methylcyclohexene,false,,,,,The double bond carbons get the lowest possible numbers (C1 and C2). The CH3 group is at C1 (the carbon bearing the methyl). Br is on C6. Name: 6-bromo-1-methylcyclohexene.,ring_numbering_direction,"Start numbering at a double-bond carbon, choose direction to give substituents the lowest locants.","In cycloalkenes, the double bond is always at C1-C2; choose numbering direction to minimise substituent numbers.","Students number the ring in the wrong direction, placing Br at C2 instead of C6, or misplace the methyl anchor carbon.",BrC1CCCC=C1C
iupac_name_chloropentene_ez,IUPAC Name with E/Z: Chloropentene,,toggle,"What is the proper IUPAC name for the alkene shown? (Structure: ClCH2CH2 on one side, CH3 on the other, both H on each double-bond carbon — Z configuration)",(E)-5-chloropent-2-ene,false,(Z)-5-chloropent-2-ene,true,(Z)-5-chloro-2-pentene,false,cis-5-chloro-2-pentene (acceptable alternate),false,,,,,"The parent chain is pent-2-ene; Cl is at C5. The ClCH2CH2 chain has higher CIP priority than H on C3, and CH3 has higher priority than H on C2. Both high-priority groups are on the same side: Z. Preferred IUPAC: (Z)-5-chloropent-2-ene.",ez_vs_cis_nomenclature,Number the chain to give the double bond the lowest locant; assign CIP priorities to determine E/Z.,"When one double-bond carbon bears H and an alkyl and the other bears H and a chain with Cl, use CIP not 'cis/trans' — Cl outranks C.","Students call it (E) because the Cl-chain and CH3 look 'trans' spatially, but CIP priorities make it Z.",ClCC/C=C/C
most_stable_alkene_hexene,Most Stable Alkene: Hexene Isomers,,recognise,Choose the most stable alkene among the following.,1-hexene,false,(E)-2-hexene,true,(Z)-2-hexene,false,They are all of equal stability according to Saytzeff's rule,false,,,,,(E)-2-hexene is disubstituted and trans; (Z)-2-hexene is disubstituted but cis (slight steric destabilisation); 1-hexene is monosubstituted. More substitution = more stable; trans > cis for same substitution count. Answer: (E)-2-hexene.,saytzeff_applies_here,"Count substituents on the double bond, then compare E vs Z for same substitution level.",Rank: trisubst > disubst-trans > disubst-cis > monosubst.,Choice d is tempting because students confuse Saytzeff's rule (about elimination regiochemistry) with alkene thermodynamic stability ranking.,
ez_cyclopentene_ch3_cl,E/Z Classification of Exocyclic Alkene (Cyclopentene with CH3 and Cl),,recognise,Which of the following best describes the geometry about the carbon-carbon double bond in the alkene shown (cyclopentane ring with exocyclic double bond bearing CH3 and Cl substituents)?,E,false,Z,false,Neither E nor Z,true,,,,,,,"The ring carbon of the double bond bears two ring carbons as substituents — both ring carbons are identical (same connectivity within the ring symmetry), so there are two identical substituents on that carbon. E/Z designation requires two different substituents on each double-bond carbon. When two substituents are the same on one carbon, E/Z cannot be assigned.",ring_ez_confusion,"Check whether each double-bond carbon has two different substituents. If one carbon has two identical groups, E/Z does not apply.",A carbon of a double bond that is part of a symmetric ring (same groups on both ring sides) cannot receive an E/Z label.,"Students see CH3 and Cl on one carbon and assume E or Z must apply, forgetting to check the other carbon (ring junction) for identical substituents.",ClC(=C1CCCC1)C
oxymercuration_markovnikov_ether,Oxymercuration-Demercuration in Methanol (Markovnikov Ether),"1. Hg(OAc)2, CH3OH; 2. NaBH4",predict,"What is the major product of 2-methylpent-2-ene treated with 1. Hg(OAc)2, CH3OH; 2. NaBH4?","2-methyl-2-methoxypentane (Markovnikov ether, OCH3 on more substituted carbon)",true,3-methoxy-3-methylpentane (wrong regiochemistry),false,2-methylpentan-3-ol (water instead of methanol as nucleophile),false,2-methylpentan-2-ol (product if water were the nucleophile with Markovnikov addition),false,add,OCH3,H,"Markovnikov, no rearrangement","Oxymercuration in ROH solvent gives a Markovnikov ether: the OR group adds to the more substituted carbon. When CH3OH is the solvent, OCH3 ends up on the more substituted carbon. The mechanism avoids carbocation rearrangement.",water_vs_alcohol_nucleophile,Identify the more substituted carbon of the double bond — OCH3 goes there.,"Solvent = nucleophile. CH3OH as solvent means you get an ether, not an alcohol.","Students default to water as the nucleophile and predict an alcohol product, ignoring that CH3OH is the solvent and nucleophile.",CC(=CCC)C
hydroboration_oxidation_antimark,Hydroboration-Oxidation: Anti-Markovnikov Alcohol,"1. BH3 * THF; 2. H2O2, -OH",predict,"What is the major product of 2-methylpent-2-ene treated with 1. BH3*THF; 2. H2O2, -OH?","2-methylpentan-3-ol (anti-Markovnikov, OH on less substituted carbon)",true,"2-methylpentan-2-ol (Markovnikov, OH on more substituted carbon)",false,A diol (both OH groups added),false,2-methyl-2-methoxypentane (ether product),false,add,OH,H,"anti-Markovnikov, syn addition, racemic","BH3 adds to the less hindered (less substituted) carbon (anti-Markovnikov). H2O2/-OH replaces B with OH with retention. Net result: OH on the less substituted carbon, syn addition.",hydroboration_vs_markovnikov,"Identify the less substituted carbon — BH3 delivers B there, so OH ends up there after oxidation.","BH3 = anti-Markovnikov + syn. H2O2/-OH replaces B with OH, same face.",Students confuse with acid-catalyzed hydration and place OH on the more substituted carbon (Markovnikov product).,CC(=CCC)C
halohydrin_cl2_water,Halohydrin Formation: Cl2 / H2O,"Cl2, H2O",predict,"What is the major product of (E)-2,3-dimethyl-2-butene (or similar disubstituted alkene with CH3 groups) treated with Cl2, H2O?","trans-chlorohydrin: Cl and OH on adjacent carbons, trans to each other (anti addition)",true,cis-chlorohydrin (syn addition of Cl and OH),false,Dichloride (both Cl on adjacent carbons),false,Diol (both OH groups added),false,add,Cl,OH,anti addition — trans chlorohydrin,Cl2/H2O forms a chloronium ion intermediate; water attacks anti to Cl. Result is trans (anti) addition of Cl and OH. OH goes to the more substituted carbon (Markovnikov for water nucleophile).,syn_vs_anti_halohydrin,Draw the chloronium ion bridge; water attacks from the opposite face.,"Halohydrin = anti addition. X on one carbon, OH on the adjacent one, always trans to each other.","Students mix up syn addition (BH3, OsO4) with anti addition (X2, X2/H2O) and predict cis products.",C(/C=C(/C)H)C
osmium_diol_1,OsO4 Dihydroxylation of 1-Methylcyclohexene,"OsO4, H2O2",predict,What is the major product when 1-methylcyclohexene is treated with OsO4 followed by H2O2?,"1-methyl-1,2-cyclohexanediol with both OH groups added syn (same face)",true,"1-methyl-1,2-cyclohexanediol with OH groups added anti (opposite faces)",false,Cyclohexanone and formaldehyde (ozonolysis-type cleavage),false,1-methylcyclohexan-1-ol (Markovnikov alcohol only),false,diol,"1-methyl-1,2-cyclohexanediol",,syn addition — both OH groups delivered to same face of the alkene via the osmate ester intermediate,"OsO4 forms a cyclic osmate ester by concerted [3+2] addition to both faces of the double bond, delivering both oxygen atoms syn. H2O2 re-oxidises OsO4 (catalytic cycle). Product is cis-1-methyl-1,2-cyclohexanediol.",anti_diol_trap,"Identify the reagent type: OsO4 = syn dihydroxylation (NOT anti, NOT cleavage)",OsO4 = syn diol; both OHs on same face,Students confuse OsO4 with Br2 (anti) or mistake the oxidative workup with ozonolysis cleavage,OC1(C)CCCCC1O
ozonolysis_bicyclic_1,Ozonolysis of Bicyclic Methylalkene,1. O3; 2. (CH3)2S,predict,Ozonolysis (O3 then Me2S) of a bicyclic alkene containing a CH3-substituted exocyclic double bond cleaves the double bond to give which type of carbonyl products?,Two aldehyde/ketone fragments — the double bond is cleaved to give one ketone and one aldehyde,true,A syn diol — both carbons of the double bond gain an OH group,false,An epoxide — one oxygen bridges the two carbons of the former double bond,false,No reaction — bicyclic alkenes are too strained for ozonolysis,false,cleave,bicyclic ketone fragment,acetaldehyde (CH3CHO) from the CH3-substituted end,,"Ozonolysis (O3 then reductive workup with Me2S) cleaves the C=C bond. Each carbon of the double bond becomes a carbonyl: a monosubstituted end gives an aldehyde, a disubstituted end gives a ketone. Me2S is reductive workup — no over-oxidation to carboxylic acid.",oxidative_workup_trap,Check workup: Me2S = reductive = aldehydes preserved; H2O2 workup = oxidative = aldehydes become carboxylic acids,"O3 / Me2S = cleave to C=O, no further oxidation",Students choose diol (confusing with OsO4) or choose over-oxidised products (confusing reductive vs oxidative workup),
